"GDP per capita, current prices (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,897.213,810.42,648.024,608.025,618.059,620.707,735.645,762.778,921.019,896.802,866.918,857.359,822.165,728.106,718.995,682.588,607.636,580.856,492.926,684.121,815.791,968.876,1076.343,1133.569,1149.243,1137.067,1111.883,1149.72,1238.542,1315.628,1334.288,1348.134,1353.045
Africa (Region),no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1008.159,896.39,867.628,851.12,816.275,947.463,1033.508,1049.387,1037.026,829.166,832.701,785.252,778.165,908.488,1064.233,1217.931,1377.319,1575.281,1802.506,1689.452,1932.051,2094.268,2183.718,2204.218,2218.136,1982.468,1853.75,1877.951,2008.262,2139.033,2249.937,2347.779,2453.873
Asia and Pacific,951.363,1000.178,954.853,993.972,1034.314,1041.866,1296.237,1505.13,1768.073,1815.001,1861.328,2017.283,2128.279,2367.535,2527.793,2831.693,2723.129,2584.508,2278.179,2495.113,2639.557,2433.035,2454.724,2708.908,3020.883,3231.05,3422.708,3870.359,4342.403,4424.346,5117.359,5816.815,6117.127,6144.738,6305.622,6202.725,6354.012,6614.603,7051.732,7474.276,7926.889,8411.718,8907.815
Australia and New Zealand,10352.607,11661.649,11401.868,10818.694,11618.585,10284.53,10759.472,12692.884,15811.744,17337.73,17950.967,17620.187,17041.494,16627.147,18851.595,20250.489,22390.217,22209.277,19431.509,20670.32,19701.532,18454.265,20621.744,26074.674,31415.714,34653.139,35903.036,42914.301,46305.362,42709.504,52547.907,62070.166,63440.188,61031.155,58402.218,48962.96,49544.034,53770.202,56522.882,58751.441,60407.279,62324.47,64200.646
Caribbean,1443.511,1567.244,1625.84,1600.866,1884.295,1373.422,1349.123,1328.391,1282.789,1375.09,1420.183,1487.583,1546.335,1630.043,1774.873,1986.088,2109.601,2259.667,2398.951,2487.875,2639.067,2692.14,2780.947,2569.576,2750.107,3539.641,3781.73,4278.744,4730.891,4237.271,4580.748,4910.549,5024.155,5065.473,5142.915,5135.07,5106.852,5199.091,5419.555,5654.034,5902.95,6163.732,6434.332
Central America,1189.205,1107.63,1113.445,1139.973,1142.926,1230.545,1036.668,1080.774,1093.456,1185.758,1107.595,1247.924,1385.797,1491.142,1493.792,1620.422,1686.674,1801.389,1914.792,1904.322,1968.034,2040.443,2107.071,2170.909,2305.724,2491.635,2716.503,3032.783,3385.283,3339.925,3647.238,4090.933,4368.473,4588,4806.969,5067.206,5236.189,5381.075,5590.937,5859.288,6140.409,6427.708,6726.27
Central Asia and the Caucasus,2168.666,2148.836,1901.376,1712.832,1627.694,1787.257,1928.024,2192.708,2346.711,2730.183,3747.082,no data,1898.353,2196.173,1629.615,2125.571,2293.814,2382.344,2471.834,2276.603,2375.877,no data,1868.19,2367.858,3026.389,3723.212,4213.321,5187.924,5919.273,5040.21,5969.755,6627.742,6942.944,7482.437,7285.053,6424.044,6010.564,5914.023,6300.283,6663.434,7032.861,7398.913,7787.541
East Asia,1315.362,1396.286,1309.136,1403.46,1470.075,1526.722,2058.2,2439.959,2939.261,3000.543,3015.828,3382.389,3692.84,4203.357,4523.559,5078.996,4737.863,4462.823,4060.251,4513.632,4867.568,4488.301,4478.408,4854.877,5350.332,5623.446,5845.602,6426.813,7342.666,7685.047,8731.575,10028.391,10713.062,10748.588,11162.405,11242.664,11563.073,12019.513,12861.566,13641.311,14485.767,15374.89,16312.843
Eastern Europe ,1902.616,2003.6,2153.702,2157.887,2047.309,2042.342,2122.635,2143.577,2457.835,no data,no data,no data,1030.984,1449.389,1902.344,2340.129,2707.64,2773.984,2431.918,2097.802,2296.951,2611.608,2967.286,3638.742,4646.818,5710.381,6946.333,8993.151,11264.634,8812.219,9999.015,11851.589,12082.41,12650.821,12017.577,9037.326,8855.212,9844.375,10587.381,11139.936,11712.054,12303.138,12887.478
Europe,8948.306,8017.263,7738.696,7519.623,7207.271,7453.836,10016.392,12271.769,13683.052,no data,no data,no data,13233.465,12125.74,13023.642,14754.608,15112.458,14198.737,14433.635,14290.72,13442.812,13656.667,14943.544,18139.291,21044.67,22271.06,24016.278,27955.93,30646.546,26850.961,27234.301,29911.601,28608.039,29737.96,30240.628,25867.584,25769.347,26961.18,28810.31,29856.635,30895.249,31861.927,32839.999
Middle East (Region),5503.755,5795.451,5439.61,5290.409,5053.641,4896.892,4791.272,5617.106,5807.361,6359.948,7767.333,5369.581,3368.736,3487.117,3764.036,4123.993,4635.178,4899.155,4757.02,5404.589,6532.143,6097.236,4689.725,4496.361,5254.659,6252.967,7180.801,8256.661,10009.966,8632.411,9951.478,13034.822,12686.4,12950.623,12875.592,10952.154,10714.49,11232.008,11356.718,11688.832,12067.342,12470.201,12857.287
North Africa,1549.188,1444.559,1456.743,1485.161,1497.135,1613.875,1625.82,1832.906,1883.454,2072.044,2056.218,1521.048,1514.394,1489.374,1454.491,1572.951,1711.822,1729.668,1748.66,1818.565,1879.955,1808.391,1638.975,1790.644,1987.021,2270.357,2552.261,2962.192,3513.285,3259.154,3654.824,3769.125,4183.148,4049.713,3965.859,3656.525,3591.98,3197.205,3326.723,3541.821,3726.103,3966.195,4228.685
North America,10387.44,11602.436,11652.405,12353.637,13529.407,14326.201,14712.661,15530.383,16733.796,17927.774,18691.976,19145.074,19944.209,20761.373,21684.442,21980.317,22997.166,24246.96,25166.636,26558.387,28177.668,28800.41,29445.346,30617.022,32520.786,34631.851,36571.018,38087.868,38550.706,36676.413,38396.589,39894.33,41023.992,42018.567,43183.155,43476.865,43911.05,45501.538,47338.35,48954.467,50530.261,52127.374,53690.253
Pacific Islands ,1418.474,1374.754,1283.339,1233.172,1160.707,1059.642,1132.208,1207.198,1492.821,1425,1316.841,1467.545,1576.614,1721.845,1863.415,1700.995,1777.969,1680.45,1294.814,1237.722,1178.957,1053.268,1050.297,1247.347,1397.792,1567.266,1689.802,1877.097,2168.6,2025.517,2330.214,2789.178,3096.405,3056.549,3165.368,2904.751,2836.982,2956.261,3068.25,3143.028,3229.324,3290.442,3231.543
South America,2421.554,2384.243,1987.654,1820.926,1745.863,1900.16,2102.615,2189.186,2392.381,2586.263,2789.817,2801.987,2938.57,3124.891,3665.668,4523.744,4698.065,4920.306,4786.364,3800.458,3958.085,3586.06,2796.984,2972.094,3559.582,4488.902,5387.035,6586.666,7893.849,7478.596,9514.253,11119.723,10960.116,10831,10504.221,8751.163,8423.887,9304.013,9618.553,10003.431,10431.93,10800.033,11220.654
South Asia,284.822,292.761,295.947,308.033,302.037,318.632,329.639,357.418,374.253,371.818,390.658,345.131,357.507,347.691,386.493,420.51,444.974,457.448,454.417,477.568,475.017,477.785,494,567.144,646.862,728.169,814.013,1013.454,1017.459,1100.831,1325.384,1414.617,1412.471,1432.007,1546.481,1588.539,1687.521,1797.112,1925.922,2083.738,2255.507,2445.794,2655.239
Southeast Asia,751.213,752.444,780.521,778.258,852.707,731.61,729.123,767.857,798.074,844.54,942.143,1039.037,1159.022,1277.155,1433.327,1638.312,1786.603,1665.584,1011.643,1175.05,1235.789,1170.036,1289.301,1435.74,1595.218,1756.71,2079.301,2451.95,2825.11,2749.083,3367.873,3847.639,4014.844,4094.685,4065.415,3880.138,4002.281,4216.092,4500.459,4811.686,5160.901,5566.454,5888.677
Sub-Saharan Africa (Region) ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,767.324,754.039,722.362,709.07,675.202,809.909,885.394,901.947,883.914,617.972,611.314,570.964,599.481,727.788,876.904,1006.175,1143.074,1301.479,1466.988,1383.648,1598.363,1772.732,1802.455,1853.914,1888.581,1668.347,1531.279,1634.976,1767.17,1884.411,1983.92,2058.285,2138.823
Western Europe,10497.878,9343.832,8976.054,8715.418,8363.115,8669.772,11793.792,14555.63,16209.753,16418.868,20241.578,21407.579,23168.271,20966.873,22182.155,25371.356,25783.203,24202.934,24879.398,24841.417,23025.529,23072.818,25045.129,30253.624,34624.86,35851.958,37899.291,43251.403,46141.151,41184.751,40850.232,44087.195,41517.501,43027.487,44238.648,38719.482,38601.741,39888.042,42511.121,43867.242,45193.06,46376.787,47581.376
Western Hemisphere (Region),6673.939,7294.255,7142.069,7428.515,8007.51,8464.377,8721.115,9164.852,9856.95,10546.524,10996.146,11226.742,11690.687,12186.079,12807.593,13309.837,13869.587,14595.108,14998.386,15275.656,16146.085,16285.983,16263.879,16904.963,18101.166,19565.813,20918.356,22199.219,22999.314,21850.273,23576.805,25019.204,25509.676,25938.416,26370.147,25755.888,25816.833,26969.623,28005.148,28963.611,29921.54,30863.286,31811.093
ASEAN-5,719.477,717.088,742.186,731.697,801.55,667.869,690.357,725.541,747.144,782.512,863.378,945.978,1054.334,1159.415,1292.832,1473.155,1612.197,1481.873,931.055,1113.659,1161.293,1109.624,1242.057,1389.756,1533.164,1683.247,2000.286,2348.599,2722.611,2642.842,3242.52,3687.48,3855.854,3928.631,3882.99,3715.383,3851.721,4077.193,4372.472,4694.125,5056.833,5480.992,5808.834
Advanced economies,10252.983,10335.705,10194.699,10538.278,10958.776,11495.05,13941.633,16097.597,18061.893,18734.48,20859.479,22074.603,23431.571,23270.591,24822.538,26906.803,26931.463,26266.534,26203.314,27409.68,27728.162,27269.661,28289.331,31543.309,34780.123,36369.511,37978.167,41183.209,43141.139,40452.534,41994.261,44819.789,44432.32,44554.052,45364.112,42681.885,43575.658,45066.228,47300.401,48905.027,50408.473,51891.253,53380.983
Commonwealth of Independent States,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,494.955,950.804,1349.366,1516.521,1887.114,1971.572,1436.802,1089.644,1340.53,1563.68,1755.045,2170.11,2945.679,3818.212,4949.127,6493.59,8250.645,6185.135,7588.869,9409.139,10110.214,10589.968,9656.492,6680.059,6125.484,6934.216,7215.72,7560.807,7928.525,8335.364,8784.284
Emerging and Developing Asia,359.289,350.968,350.897,364.291,373.793,359.829,359.771,385.712,425.561,446.841,441.655,437.588,487.449,543.66,558.153,657.364,733.135,750.597,675.763,732.778,776.319,808.719,876.396,989.431,1134.397,1296.189,1521.793,1907.783,2276.027,2448.969,2921.969,3449.029,3764.831,4073.848,4355.829,4512.305,4555.093,4809.46,5214.941,5619.389,6081.422,6572.798,7072.127
Emerging and Developing Europe,1997.463,2055.898,2061.671,1990.287,1887.54,1944.142,2046.891,2162.91,2414.585,2516.992,2614.829,2533.257,2634.671,2872.871,2594.783,3318.04,3459.282,3493.771,3716.37,3475.35,3535.952,3302.547,3760.663,4619.505,5687.568,6792.149,7544.487,9394.41,11041.829,9231.43,10128.696,11016.677,10787.984,11531.259,11579.674,10330.619,10373.013,10635.464,11619.476,12260,12902.698,13531.193,14103.908
Emerging market and developing economies,863.504,883.376,819.12,791.127,775.856,774.351,776.385,840.15,909.402,976.482,1255.574,1147.289,941.585,1046.499,1114.069,1260.457,1383.43,1444.056,1358.096,1295.863,1398.632,1385.605,1354.68,1503.577,1765.483,2084.02,2435.87,2960.039,3510.282,3311.637,3931.534,4588.62,4788.088,5014.586,5110.203,4768.712,4686.678,4960.642,5290.393,5617.571,5977.462,6348.902,6728.618
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19661.856,21590.358,19529.714,20563.416,24211.053,24526.544,21968.487,22309.056,22309.553,20283.564,20498.091,22266.842,27280.958,31109.171,32119.358,33913.771,38906.286,42566.686,38683.797,37781.65,40748.982,37711.307,39257.033,39977.933,34411.328,35078.457,36780.519,39569.349,40974.649,42342.812,43527.719,44915.733
European Union,8788.688,7855.594,7567.469,7347.978,7037.912,7282.828,9790.038,11994.1,13400.764,13589.834,16566.183,17542.408,18711.562,16750.687,17763.743,19931.232,20341.75,19194.429,19829.804,19782.132,18377.47,18516.297,20182.196,24459.387,28119.102,29291.432,31116.306,35830.47,38536.61,34255.711,33946.667,36557.999,34355.007,35708.592,36842.15,32280.087,32327.881,33553.894,35988.142,37253.006,38501.399,39630.904,40757.834
Latin America and the Caribbean,2457.257,2595.606,2089.929,1859.155,1890.528,2000.499,1951.731,2040.921,2259.898,2496.961,2715.948,2852.474,3066.097,3393.266,3795.195,4036.283,4258.443,4581.971,4542.906,4003.777,4314.406,4146.292,3639.148,3661.309,4171.591,5016.804,5823.297,6805.237,7822.781,7122.869,8804.403,10131.182,10048.348,10080.512,9912.687,8470.763,8066.774,8817.465,9209.655,9594.956,10010.415,10393.916,10815.843
Major advanced economies (G7),11219.274,11492.533,11375.102,11933.202,12493.644,13204.071,15871.538,18116.189,20238.426,20893.697,22919.869,24329.189,25913.882,26264.156,27908.354,30242.877,30011.443,29464.589,29677.295,31070.867,31651.568,31100.173,31907.526,35028.244,38249.4,39701.468,41142.586,43907.64,45675.315,43259.659,44669.16,47223.346,47219.381,46940.722,47855.304,45718.355,46738.403,47960.663,50175.526,51829.995,53377.585,54915.759,56465.033
Middle East and North Africa,2949.745,3002.816,2853.54,2813.115,2744.772,2743.718,2697.858,3148.326,3210.309,3578.81,4219.116,2876.34,1950.829,2005.287,2087.894,2273.297,2550.82,2683.171,2630.768,2965.452,3476.224,3262.96,2580.357,2700.275,3161.51,3792.844,4394.897,5091.951,6169.012,5382.731,6194.884,7659.694,7639.533,7643.128,7582.256,6532.236,6380.001,6477.237,6626.34,6918.977,7220.258,7564.658,7914.966
"Middle East, North Africa, Afghanistan, and Pakistan",2137.921,2194.403,2102.254,2062.798,2026.464,2025.074,1995.602,2309.159,2370.292,2627.969,3108.5,2183.72,1533.648,1576.059,1630.302,1780.766,1976.115,2058.898,2015.799,2244.255,2586.725,2430.182,1873.113,2007.071,2342.287,2790.67,3222.274,3699.586,4463.41,3924.392,4484.402,5416.139,5415.861,5430.391,5421.446,4759.58,4656.642,4733.436,4862.253,5079.388,5306.66,5567.395,5839.76
Other advanced economies,6824.143,6870.431,6734.038,6640.438,6889.215,6802.198,8210.986,10005.882,11671.015,12559.799,14299.96,15011.383,15840.222,15457.943,17181.836,18584.222,19621.267,18845.945,16876.899,17946.197,18360.174,17617.057,19030.07,21785.53,24736.865,27094.721,29107.148,32993.473,34541.189,31432.897,35894.799,40659.998,40615.996,41628.945,42001.547,38208.428,38561.358,40973.897,42896.326,44378.901,45761.654,47183.611,48602.638
Sub-Saharan Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,805.201,790.335,755.334,737.404,700.274,839.179,915.926,929.153,911.26,631.618,622.551,579.015,607.136,738.593,890.759,1020.252,1151.388,1305.854,1469.903,1386.03,1597.979,1762.815,1804.543,1856.901,1889.671,1650.829,1499.559,1581.852,1697.074,1796.451,1876.195,1925.991,1979.955
World,2837.82,2850.845,2748.485,2774.051,2823.766,2905.457,3357.947,3796.746,4198.509,4346.679,4738.194,4837.484,4786.044,4839.536,5121.299,5615.84,5683.081,5584.274,5439.263,5554.668,5660.368,5549.08,5645.232,6236.897,6933.906,7419.779,7933.534,8836.796,9571.849,8958.104,9680.279,10644.618,10711.361,10880.779,11042.843,10320.244,10344.239,10750.967,11310.586,11773.923,12248.241,12726.447,13210.344
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
